idea_id,day,source,ticker,setup,side,tier,score,score_band,entry_type,entry,stop,target,shares,rr,first_seen,last_seen,outcome,result_r,mfe_r,mae_r,current_r,fill_time,exit_time,last_px,spy_regime,relative_volume_today,obv_state,notes
6e75382b2e2ff89d,2026-08-20,live_state_lookup,QMCO,BEAR_REJECTION_PENDING,SHORT,CONVICTION,70.1,70-79,LIMIT,22.23,23.96,19.15,57,1.77,2026-08-20T05:09:03,2026-08-20T08:25:00,NOT_EVALUATED,,,,,,,,HOSTILE,0.768,RISING,LIMIT SHORT @ $22.23 (2% rally cap; anchor at $23.27 too far). Stop $23.96. Anchor: daily 25tk bear.
d52deec16c6b8ad9,2026-08-20,live_state_lookup,COSM,BULL_BOUNCE_PENDING,LONG,CONVICTION,70.1,70-79,LIMIT,0.19,0.19,0.2,9238,10.0,2026-08-20T04:03:41,2026-08-20T08:00:42,NOT_EVALUATED,,,,,,,,CHOP,0.43,NEUTRAL,LIMIT BUY @ $0.20 (2% pullback cap; anchor at $0.19 too far). Stop $0.19. Anchor: 4h 1tk.
6ee43ed827bb5941,2026-08-20,live_state_lookup,TDC,BEAR_REJECTION_PENDING,SHORT,CONVICTION,70.1,70-79,LIMIT,28.63,29.73,26.86,91,1.61,2026-08-20T04:02:32,2026-08-20T08:25:00,NOT_EVALUATED,,,,,,,,HOSTILE,0.461,RISING,LIMIT SHORT @ $28.63 (2% rally cap; anchor at $29.21 too far). Stop $29.73. Anchor: 1h 19tk bear.
f1364e9f3e7e3d2f,2026-08-20,live_state_lookup,MSGY,BEAR_REJECTION_PENDING,SHORT,CONVICTION,70.0,70-79,LIMIT,2.66,2.89,2.53,517,0.57,2026-08-20T05:09:09,2026-08-20T08:25:00,NOT_EVALUATED,,,,,,,,HOSTILE,0.018,RISING,LIMIT SHORT @ $2.59 on rally (0.4% above current $2.58). Stop $2.78. Anchor: 4h 6tk bear.
302116e12c35905a,2026-08-20,live_state_lookup,TMHC,BEAR_REJECTION_PENDING,SHORT,CONVICTION,69.8,60-69,LIMIT,73.47,74.24,71.53,129,2.52,2026-08-20T04:03:43,2026-08-20T08:25:00,NOT_EVALUATED,,,,,,,,HOSTILE,3.118,RISING,LIMIT SHORT @ $73.47 on rally (1.4% above current $72.45). Stop $74.24. Anchor: daily 41tk bear.
365617b5ba7c4824,2026-08-20,live_state_lookup,WHR,BEAR_REJECTION_PENDING,SHORT,CONVICTION,69.8,60-69,LIMIT,40.96,41.7,38.49,135,3.34,2026-08-20T04:02:26,2026-08-20T08:25:00,NOT_EVALUATED,,,,,,,,HOSTILE,0.903,FALLING,LIMIT SHORT @ $40.96 (2% rally cap; anchor at $41.00 too far). Stop $41.7. Anchor: weekly 37tk bear.
e6d1c89de79665e8,2026-08-20,live_state_lookup,AHMA,BEAR_REJECTION_PENDING,SHORT,CONVICTION,69.7,60-69,LIMIT,1.58,1.67,1.41,1145,1.89,2026-08-20T04:03:13,2026-08-20T08:25:00,NOT_EVALUATED,,,,,,,,HOSTILE,1.277,NEUTRAL,LIMIT SHORT @ $1.58 (2% rally cap; anchor at $1.61 too far). Stop $1.67. Anchor: weekly 5tk bear.
f18114317d6b9dc1,2026-08-20,live_state_lookup,MOD,BEAR_REJECTION_PENDING,SHORT,CONVICTION,69.1,60-69,LIMIT,196.03,199.7,170.0,28,7.09,2026-08-20T05:08:10,2026-08-20T08:25:00,NOT_EVALUATED,,,,,,,,CHOP,0.09,RISING,LIMIT SHORT @ $194.01 on rally (0.6% above current $192.86). Stop $197.53. Anchor: daily 113tk bear.
8175da8ae2f6cc40,2026-08-20,live_state_lookup,QMCO,BULL_BOUNCE_PENDING,LONG,CONVICTION,69.1,60-69,LIMIT,21.35,19.06,24.85,43,1.52,2026-08-20T04:03:34,2026-08-20T08:15:27,NOT_EVALUATED,,,,,,,,CHOP,0.768,RISING,LIMIT BUY @ $21.35 (2% pullback cap; anchor at $19.75 too far). Stop $19.06. Anchor: daily 71tk.
41be92c18a8afa40,2026-08-20,live_state_lookup,CRUS,BULL_BOUNCE_PENDING,LONG,CONVICTION,69.1,60-69,LIMIT,116.23,103.66,122.04,1,0.46,2026-08-20T04:02:47,2026-08-20T08:15:27,NOT_EVALUATED,,,,,,,,CHOP,1.211,FALLING,LIMIT BUY @ $116.23 (2% pullback cap; anchor at $105.03 too far). Stop $103.66. Anchor: daily 104tk.
d5cf2be1c70ded15,2026-08-20,live_state_lookup,INTC,BULL_BOUNCE_PENDING,LONG,CONVICTION,69.0,60-69,LIMIT,91.09,66.45,95.65,4,0.18,2026-08-20T04:23:51,2026-08-20T08:20:14,NOT_EVALUATED,,,,,,,,CHOP,0.906,RISING,LIMIT BUY @ $91.09 (2% pullback cap; anchor at $74.49 too far). Stop $66.45. Anchor: daily 1543tk.
514a36e7b107f726,2026-08-20,live_state_lookup,CRVO,BULL_BOUNCE_PENDING,LONG,CONVICTION,68.9,60-69,LIMIT,2.7,2.58,3.0,774,2.29,2026-08-20T04:03:13,2026-08-20T04:06:23,NOT_EVALUATED,,,,,,,,CHOP,1.423,NEUTRAL,LIMIT BUY @ $2.70 (2% pullback cap; anchor at $2.64 too far). Stop $2.58. Anchor: daily 7tk.
cd09618815a87972,2026-08-20,live_state_lookup,INTC,BEAR_REJECTION_PENDING,SHORT,CONVICTION,68.9,60-69,LIMIT,95.58,104.01,82.2,11,1.59,2026-08-20T04:02:44,2026-08-20T07:50:40,NOT_EVALUATED,,,,,,,,CHOP,0.906,RISING,LIMIT SHORT @ $95.58 (2% rally cap; anchor at $99.22 too far). Stop $104.01. Anchor: daily 427tk bear.
af51bd382d62ec5a,2026-08-20,live_state_lookup,OBAI,BEAR_REJECTION_PENDING,SHORT,CONVICTION,68.8,60-69,LIMIT,0.32,0.33,0.31,7358,1.0,2026-08-20T04:03:10,2026-08-20T08:25:00,NOT_EVALUATED,,,,,,,,HOSTILE,0.642,NEUTRAL,LIMIT SHORT @ $0.33 on rally (0.4% above current $0.33). Stop $0.34. Anchor: 1h 1tk bear.
71112216fe5b016d,2026-08-20,live_state_lookup,OSS,BEAR_REJECTION_PENDING,SHORT,CONVICTION,68.5,60-69,LIMIT,12.58,13.51,10.71,95,2.01,2026-08-20T04:24:21,2026-08-20T07:46:15,NOT_EVALUATED,,,,,,,,HOSTILE,0.219,NEUTRAL,LIMIT SHORT @ $12.46 (2% rally cap; anchor at $12.78 too far). Stop $13.51. Anchor: daily 67tk bear.
b1eb7f625b2ac304,2026-08-20,live_state_lookup,BEEM,BULL_BOUNCE_PENDING,LONG,CONVICTION,68.5,60-69,LIMIT,1.47,1.43,1.6,2285,2.97,2026-08-20T04:03:31,2026-08-20T04:50:18,NOT_EVALUATED,,,,,,,,CHOP,11.961,NEUTRAL,LIMIT BUY @ $1.47 (2% pullback cap; anchor at $1.44 too far). Stop $1.43. Anchor: 5m 2tk.
eeb7c38f1de70959,2026-08-20,live_state_lookup,CALM,BEAR_REJECTION_PENDING,SHORT,CONVICTION,68.4,60-69,LIMIT,82.16,83.0,69.78,29,14.71,2026-08-20T04:02:54,2026-08-20T08:25:00,NOT_EVALUATED,,,,,,,,CHOP,0.953,FALLING,LIMIT SHORT @ $82.16 (2% rally cap; anchor at $82.28 too far). Stop $83.0. Anchor: daily 32tk bear.
4fdd938fa4d952ad,2026-08-20,live_state_lookup,VUZI,BEAR_REJECTION_PENDING,SHORT,CONVICTION,68.0,60-69,LIMIT,3.03,3.1,2.9,1380,1.86,2026-08-20T05:09:05,2026-08-20T06:37:19,NOT_EVALUATED,,,,,,,,HOSTILE,0.044,FALLING,LIMIT SHORT @ $3.03 on rally (0.0% above current $3.03). Stop $3.1. Anchor: 45m 2tk bear.
4d1c408bf7adaf25,2026-08-20,live_state_lookup,BLLN,BEAR_REJECTION_PENDING,SHORT,CONVICTION,68.0,60-69,LIMIT,93.6,96.51,86.6,34,2.41,2026-08-20T05:08:28,2026-08-20T08:25:00,NOT_EVALUATED,,,,,,,,HOSTILE,0.188,FALLING,LIMIT SHORT @ $93.53 (2% rally cap; anchor at $93.60 too far). Stop $96.46. Anchor: 1m 40tk bear.
4e97f7efb255a0b7,2026-08-20,live_state_lookup,YYGH,BEAR_REJECTION_PENDING,SHORT,CONVICTION,68.0,60-69,LIMIT,1.26,1.32,1.16,2094,1.67,2026-08-20T04:03:28,2026-08-20T08:25:00,NOT_EVALUATED,,,,,,,,HOSTILE,1.016,FALLING,LIMIT SHORT @ $1.27 (2% rally cap; anchor at $1.28 too far). Stop $1.32. Anchor: 1m 2tk bear.
6482510d38837c3e,2026-08-20,live_state_lookup,BLDR,BEAR_REJECTION_PENDING,SHORT,CONVICTION,68.0,60-69,LIMIT,72.8,73.87,68.49,93,4.03,2026-08-20T04:02:27,2026-08-20T08:25:00,NOT_EVALUATED,,,,,,,,HOSTILE,0.9,RISING,LIMIT SHORT @ $72.80 on rally (0.4% above current $72.53). Stop $73.87. Anchor: 1h 65tk bear.
b9751fd9c762dc44,2026-08-20,live_state_lookup,MIR,BEAR_REJECTION_PENDING,SHORT,CONVICTION,68.0,60-69,LIMIT,15.88,16.34,14.98,219,1.96,2026-08-20T04:02:20,2026-08-20T08:25:00,NOT_EVALUATED,,,,,,,,HOSTILE,0.668,FALLING,LIMIT SHORT @ $15.88 on rally (1.3% above current $15.67). Stop $16.34. Anchor: 15m 38tk bear.
aca298886387ab89,2026-08-20,live_state_lookup,KD,BEAR_REJECTION_PENDING,SHORT,CONVICTION,68.0,60-69,LIMIT,12.46,12.7,11.91,424,2.29,2026-08-20T04:02:17,2026-08-20T08:25:00,NOT_EVALUATED,,,,,,,,HOSTILE,0.993,FALLING,LIMIT SHORT @ $12.46 on rally (0.2% above current $12.43). Stop $12.7. Anchor: 10m 8tk bear.
11cfb6d40766315c,2026-08-20,live_state_lookup,OLN,BULL_BOUNCE,LONG,CONVICTION,67.8,60-69,LIMIT,18.92,17.97,20.48,104,1.64,2026-08-20T04:02:22,2026-08-20T08:15:27,NOT_EVALUATED,,,,,,,,CHOP,0.774,RISING,"Channel: 30m ASC, rails $18.88-$19.14"
dccca3e33b8210d5,2026-08-20,live_state_lookup,PTRN,BULL_BOUNCE_PENDING,LONG,CONVICTION,67.7,60-69,LIMIT,20.3,19.13,22.49,85,1.88,2026-08-20T04:02:37,2026-08-20T06:27:55,NOT_EVALUATED,,,,,,,,CHOP,0.655,NEUTRAL,LIMIT BUY @ $20.30 (2% pullback cap; anchor at $19.63 too far). Stop $19.13. Anchor: daily 38tk.
548f37eac1f68f37,2026-08-20,live_state_lookup,MSGY,BULL_BOUNCE_PENDING,LONG,CONVICTION,67.2,60-69,LIMIT,2.62,2.37,2.75,263,0.52,2026-08-20T04:03:40,2026-08-20T08:15:27,NOT_EVALUATED,,,,,,,,CHOP,0.213,RISING,LIMIT BUY @ $2.59 (2% pullback cap; anchor at $2.44 too far). Stop $2.21. Anchor: 4h 10tk.
d94430438da9572e,2026-08-20,live_state_lookup,ALHC,BULL_BOUNCE_PENDING,LONG,CONVICTION,66.7,60-69,LIMIT,12.55,11.65,14.15,111,1.78,2026-08-20T04:02:19,2026-08-20T06:27:55,NOT_EVALUATED,,,,,,,,CHOP,0.671,FALLING,LIMIT BUY @ $12.55 (2% pullback cap; anchor at $11.98 too far). Stop $11.65. Anchor: daily 24tk.
237759e50dfb92ed,2026-08-20,live_state_lookup,GDHG,BEAR_REJECTION_PENDING,SHORT,CONVICTION,66.3,60-69,LIMIT,1.16,1.35,1.1,1297,0.32,2026-08-20T04:03:21,2026-08-20T08:25:00,NOT_EVALUATED,,,,,,,,HOSTILE,0.396,RISING,LIMIT SHORT @ $1.35 on rally (0.7% above current $1.34). Stop $1.43. Anchor: weekly 7tk bear.
e465feba51ffb86c,2026-08-20,live_state_lookup,WNW,BEAR_REJECTION_PENDING,SHORT,CONVICTION,66.2,60-69,LIMIT,2.47,2.63,2.34,1370,0.81,2026-08-20T04:03:14,2026-08-20T08:25:00,NOT_EVALUATED,,,,,,,,HOSTILE,0.258,NEUTRAL,LIMIT SHORT @ $2.56 on rally (0.4% above current $2.55). Stop $2.63. Anchor: 4h 3tk bear.
cd270627b19b522f,2026-08-20,live_state_lookup,KLRA,BULL_BOUNCE_PENDING,LONG,CONVICTION,66.2,60-69,LIMIT,18.51,17.51,20.51,113,2.0,2026-08-20T04:02:24,2026-08-20T08:15:27,NOT_EVALUATED,,,,,,,,CHOP,0.045,NEUTRAL,LIMIT BUY @ $17.95 (2% pullback cap; anchor at $17.37 too far). Stop $17.08. Anchor: daily 11tk.
d411cc7452bca2b6,2026-08-20,live_state_lookup,AVAV,BEAR_REJECTION_PENDING,SHORT,CONVICTION,66.0,60-69,LIMIT,174.0,177.24,151.22,30,7.02,2026-08-20T04:02:50,2026-08-20T08:25:00,NOT_EVALUATED,,,,,,,,CHOP,0.851,NEUTRAL,LIMIT SHORT @ $174.00 on rally (0.6% above current $173.01). Stop $177.24. Anchor: 10m 139tk bear.
3f813bc714a39378,2026-08-20,live_state_lookup,NRG,BEAR_REJECTION_PENDING,SHORT,CONVICTION,66.0,60-69,LIMIT,121.56,123.71,111.29,11,4.77,2026-08-20T04:02:24,2026-08-20T08:25:00,NOT_EVALUATED,,,,,,,,CHOP,0.713,RISING,LIMIT SHORT @ $121.56 on rally (1.1% above current $120.25). Stop $123.71. Anchor: 1h 146tk bear.
1af99dc46c75f8ac,2026-08-20,live_state_lookup,VLN,BEAR_REJECTION_PENDING,SHORT,CONVICTION,65.7,60-69,LIMIT,1.83,1.92,1.59,1116,2.67,2026-08-20T04:03:40,2026-08-20T08:25:00,NOT_EVALUATED,,,,,,,,HOSTILE,0.701,NEUTRAL,LIMIT SHORT @ $1.83 on rally (1.1% above current $1.81). Stop $1.92. Anchor: daily 8tk bear.
22674e126df88b32,2026-08-20,live_state_lookup,CTM,BEAR_REJECTION_PENDING,SHORT,CONVICTION,65.6,60-69,LIMIT,0.62,0.79,0.58,565,0.17,2026-08-20T05:08:56,2026-08-20T07:41:37,NOT_EVALUATED,,,,,,,,HOSTILE,0.51,NEUTRAL,LIMIT SHORT @ $0.62 on rally (0.3% above current $0.61). Stop $0.79. Anchor: daily 18tk bear.
